numero,periodicite
9002,ANNUEL
9003,ANNUEL
9004,ANNUEL
9005,TRIMESTRIEL
9006,ANNUEL
9007,ANNUEL
9009,MENSUEL
9011,MENSUEL
9013,ANNUEL
9014,ANNUEL
9016,MENSUEL
9017,MENSUEL
9019,ANNUEL
9020,ANNUEL
9025,REGULIER
9026,REGULIER
9028,REGULIER
9030,REGULIER
9032,TRIMESTRIEL
9033,ANNUEL
9034,ANNUEL
9037,ANNUEL
9039,REGULIER
9042,REGULIER
9043,REGULIER
9045,REGULIER
9046,REGULIER
9047,ANNUEL
9049,REGULIER
9050,ANNUEL
9051,MENSUEL
9052,REGULIER
9053,ANNUEL
9056,REGULIER
9057,REGULIER
9058,REGULIER
9060,MENSUEL
9061,MENSUEL
9062,MENSUEL
9064,ANNUEL
9065,ANNUEL
9066,REGULIER
9067,REGULIER
9068,REGULIER
9073,MENSUEL
9074,ANNUEL
9075,ANNUEL
9076,ANNUEL
9077,REGULIER
9078,REGULIER
9079,MENSUEL
9080,REGULIER
9081,TRIMESTRIEL
9082,REGULIER
9084,REGULIER
9087,MENSUEL
9088,REGULIER
9091,MENSUEL
9092,ANNUEL
9093,REGULIER
9094,MENSUEL
9096,MENSUEL
9097,REGULIER
9098,REGULIER
9099,MENSUEL
9100,ANNUEL
9101,REGULIER
9102,ANNUEL
9103,MENSUEL
9104,MENSUEL
9105,REGULIER
9106,ANNUEL
9107,REGULIER
9108,ANNUEL
9109,ANNUEL
9110,REGULIER
9112,REGULIER
9113,ANNUEL
9114,REGULIER
9116,REGULIER
9117,MENSUEL
9118,REGULIER
9119,ANNUEL
9120,ANNUEL
